Year,Citation,Link,Category,Sub Cat,Quote, ,Background Purpose,Background Purpose (sub cat),further research
2021,"Buterin, V. (11. January 2021). Why we need wide adoption of social recovery wallets. Retrieved November 2021 from https://vitalik.ca/general/2021/01/11/recovery.html
",https://vitalik.ca/general/2021/01/11/recovery.html,Social Recovery wallet,,"Social recovery is better
This gets us to my preferred method for securing a wallet: social recovery. A social recovery system works as follows:
There is a single ""signing key"" that can be used to approve transactions
There is a set of at least 3 (or a much higher number) of ""guardians"", of which a majority can cooperate to change the signing key of the account.
The signing key has the ability to add or remove guardians, though only after a delay (often 1-3 days).


Under all normal circumstances, the user can simply use their social recovery wallet like a regular wallet, signing messages with their signing key so that each transaction signed can fly off with a single confirmation click much like it would in a ""traditional"" wallet like Metamask.
If a user loses their signing key, that is when the social recovery functionality would kick in. The user can simply reach out to their guardians and ask them to sign a special transaction to change the signing pubkey registered in the wallet contract to a new one. This is easy: they can simply go to a webpage such as security.loopring.io, sign in, see a recovery request and sign it. About as easy for each guardian as making a Uniswap trade.
There are many possible choices for whom to select as a guardian. The three most common choices are:
Other devices (or paper mnemonics) owned by the wallet holder themselves
Friends and family members
Institutions, which would sign a recovery message if they get a confirmation of your phone number or email or perhaps in high value cases verify you personally by video call
Guardians are easy to add: you can add a guardian simply by typing in their ENS name or ETH address, though most social recovery wallets will require the guardian to sign a transaction in the recovery webpage to agree to be added. In any sanely designed social recovery wallet, the guardian does NOT need to download and use the same wallet; they can simply use their existing Ethereum wallet, whichever type of wallet it is. Given the high convenience of adding guardians, if you are lucky enough that your social circles are already made up of Ethereum users, I personally favor high guardian counts (ideally 7+) for increased security. If you already have a wallet, there is no ongoing mental effort required to be a guardian: any recovery operations that you do would be done through your existing wallet. If you not know many other active Ethereum users, then a smaller number of guardians that you trust to be technically competent is best.
",,,,
2021,"Buterin, V. (11. January 2021). Why we need wide adoption of social recovery wallets. Retrieved November 2021 from https://vitalik.ca/general/2021/01/11/recovery.html
",https://vitalik.ca/general/2021/01/11/recovery.html,Social Recovery wallet,,"To reduce the risk of attacks on guardians and collusion, your guardians do not have to be publicly known: in fact, they do not need to know each other's identities. This can be accomplished in two ways. First, instead of the guardians' addresses being stored directly on chain, a hash of the list of addresses can be stored on chain, and the wallet owner would only need to publish the full list at recovery time. Second, each guardian can be asked to deterministically generate a new single-purpose address that they would use just for that particular recovery; they would not need to actually send any transactions with that address unless a recovery is actually required. To complement these technical protections, it's recommended to choose a diverse collection of guardians from different social circles (including ideally one institutional guardian); these recommendations together would make it extremely difficult for the guardians to be attacked simultaneously or collude.
",,,,
2021,"Buterin, V. (11. January 2021). Why we need wide adoption of social recovery wallets. Retrieved November 2021 from https://vitalik.ca/general/2021/01/11/recovery.html
",https://vitalik.ca/general/2021/01/11/recovery.html,Social Recovery wallet,,"Currently, the two major wallets that have implemented social recovery are the Argent wallet and the Loopring wallet:

The Argent wallet is the first major, and still the most popular, ""smart contract wallet"" currently in use, and social recovery is one of its main selling points. The Argent wallet includes an interface by which guardians can be added and removed:

The Loopring wallet is most known for being built by the developers of (and of course including support for) the Loopring protocol, a ZK rollup for payments and decentralized exchange. But the Loopring wallet also has a social recovery feature, which works very similarly to that in Argent. In both cases, the wallet companies provide one guardian for free, which relies on a confirmation code sent by mobile phone to authenticate you. For the other guardians, you can add either other users of the same wallet, or any Ethereum user by providing their Ethereum address.

",,,,
2021,"Buterin, V. (11. January 2021). Why we need wide adoption of social recovery wallets. Retrieved November 2021 from https://vitalik.ca/general/2021/01/11/recovery.html
",https://vitalik.ca/general/2021/01/11/recovery.html,Social Recovery wallet,,"Argent What are guardians?
Guardians are people and devices you choose to help keep your wallet even more secure.
Guardians NEVER have access to your cryptocurrency.
You can ask them to help you:
Lock your wallet
Approve a wallet recovery
Approve an untrusted transaction
Types of guardian
A hardware wallet or other device (e.g. another phone) that you own yourself.
A person you’ve selected because you trust them (e.g. a friend or family member).
A third party service. An example is the default Argent guardian, which uses 2-factor authentication.

Guardian approvals needed
2 years ago Updated
Follow
While performing a security-related task such as a recovery or recovery cancellation, you will need a certain amount of guardians to confirm your action. The numbers differ depending on the action needed. 
How many guardians do I need for wallet recovery?
You need 50% of your guardians to approve recovery process (rounded towards the higher number).
Total guardians
Needed for recovery
1
1
2
1
3
2
4
2
N
ceil(N/2)
 
How many guardians do I need for recovery cancellation?
You need a majority out of you and your guardians to approve the recovery cancellation. 
Total guardians
Needed for cancellation
1
Owner OR 1 guardian ¹
2
Owner AND 1 guardian; 
or 2 guardians
3
Owner AND 1 guardians; 
or 2 guardians
4
Owner AND 2 guardians;
or 3 guardians
N
ceil((N+1)/2)
¹ If you only have a single guardian and initiate a recovery, an attacker who has access to your private key could cancel that recovery. However your Argent wallet is protected by all the available security features on iOS and Android, such as biometrics, keychain, and secure enclave, as well as a six-digit user pin code. It is therefore highly unlikely that the secure enclave of your phone could get hacked and that someone could access your private key. You may want to consider this when choosing your guardian setup.
 
How many guardians do I need for wallet ownership transfer? 
You need the wallet ownership transfer to be initiated by you (owner of the wallet) and approved by 50% of your guardians (rounded towards bigger number)
Total guardians
Needed for transfer
1
2 (owner + 1 guardian)
2
2 (owner + 1 guardian)
3
3 (owner + 2 guardians)
4
3 (owner + 2 guardians)
N
1 + ceil(N/2)
 
How many guardians do I need to lock/unlock the wallet?
You only need 1 guardian to help you lock/unlock the wallet, regardless of the total number of guardians you have. 
How many guardians do I need to approve a transaction? 
You need the transaction to be initiated by you (owner of the wallet) and approved by 50% of your guardians (rounded towards bigger number)
Total guardians
Needed for txn approval
1
2 (owner + 1 guardian)
2
2 (owner + 1 guardian)
3
3 (owner + 2 guardians)
4
3 (owner + 2 guardians)
N
1 + ceil(N/2)

 
",,,,
2021,"Buterin, V. (11. January 2021). Why we need wide adoption of social recovery wallets. Retrieved November 2021 from https://vitalik.ca/general/2021/01/11/recovery.html
",https://vitalik.ca/general/2021/01/11/recovery.html,Social Recovery wallet,,": a newer type of smart contract wallet called a social recovery wallet. These wallets can potentially provide a high level of security and much better usability than previous options, but there is still a way to go before they can be easily and widely deployed.
",,,,
2022,"Sun, N., Zhang, Y., & Liu, Y. (2022). A Privacy-Preserving KYC-Compliant Identity Scheme for Accounts on All Public Blockchains. Sustainability, 14(21), 14584.",file:///Users/justingoldston/Downloads/sustainability-14-14584-v2.pdf,,,"Blockchainbased DID schemes [19] use each blockchain account as a DID and IdPs verify users’ attributes and issue verifiable credentials so that users can present verified attribute values to validators. Soul-bound tokens (SBTs) [20] are non-transferable digital identity tokens that represent the traits, features, and achievements that make up a person or entity. BAB [21] is a soul-bound token used as proof of identity for Binance users who have completed KYC (know your customer) verification. Reputation systems [22–24] have established an on-chain credit system. They score wallet accounts by correlating off-chain data or mark the on-chain behavior of accounts by issuing certificates. As described above, IdPs in all solutions know the wallet accounts of all their clients so the asset balances and transaction records of wallet accounts are exposed, which poses a threat to personal privacy",,,,
2022,"Sun, N., Zhang, Y., & Liu, Y. (2022). A Privacy-Preserving KYC-Compliant Identity Scheme for Accounts on All Public Blockchains. Sustainability, 14(21), 14584.",file:///Users/justingoldston/Downloads/sustainability-14-14584-v2.pdf, ,,"2.1. Blockchain The article Bitcoin: A Peer-to-Peer Electronic Cash System [25] by Satoshi Nakamoto in 2008 introduced the concept of the blockchain. The blockchain is a chain structure composed of sequential links of blocks. The blockchain has the characteristics of decentralization, nontampering, and transparency. Blockchain technology is consistently evolving and being applied in various fields of activity [26]. In 2014, Ethereum was proposed [27]. Ethereum allows people to deploy decentralized applications onto it based on smart contracts. Smart contracts have greatly enriched the application of blockchains. 2.2. Smart Contracts Smart contracts were first proposed by Nick Szabo in 1995 [28]. After the emergence of Ethereum in 2014, smart contracts began to be used on a large scale. A smart contract can be defined as an agreement within the blockchain between two people. The most important part of this agreement is that it is self-executing, secure, and does not require any third-party involvement such as lawyers or banks. It also eliminates counterparty risk by allowing users to check their balances at any point in time and makes sure no one has changed their balances without mutual consent. 2.3. NFT Fungible tokens (FT) are divisible and non-unique. For instance, fiat currencies such as the dollar are fungible: A USD 1 bill in New York City has the same value as a USD 1 bill in Miami. A fungible token can also be a cryptocurrency, such as Bitcoin: BTC 1 is worth BTC 1, no matter where it is issued. The most representative fungible token protocol is ERC20 [29]. Non-fungible tokens (NFTs) are cryptographic assets on a blockchain with unique identification codes and metadata that distinguish them from each other. Since storing data on the chain is very expensive, the metadata of NFTs are often stored on decentralized storage systems such as an Inter-Planetary File System (IPFS) [30].",,,,
2022,"Sun, N., Zhang, Y., & Liu, Y. (2022). A Privacy-Preserving KYC-Compliant Identity Scheme for Accounts on All Public Blockchains. Sustainability, 14(21), 14584.",file:///Users/justingoldston/Downloads/sustainability-14-14584-v2.pdf,,,"Privacy Analysis Blockchain digital identity schemes mainly include two aspects of privacy issues— identity privacy and wallet account privacy. The IdP knows both users’ identities and wallet accounts in all existing systems, which poses a threat to privacy. The scheme divides IdPs into supervisors and the KYC provider. Supervisors are responsible for tracing the identities of suspicious accounts, and the KYC provider is responsible for checking the identity of users. The association of identity and wallet accounts is done by the user. Supervisors can investigate the identities corresponding to suspicious wallet accounts through the information held by the KYC provider and VASPs. Therefore, for normal users, their privacy is preserved because no one but themselves knows the association between their wallet account and their real-world identity.",,,,
2022,"Sun, N., Zhang, Y., & Liu, Y. (2022). A Privacy-Preserving KYC-Compliant Identity Scheme for Accounts on All Public Blockchains. Sustainability, 14(21), 14584.",file:///Users/justingoldston/Downloads/sustainability-14-14584-v2.pdf,,,"Impersonation of identity and loss of private keys are the main threats to this type of solution. Due to the collision resistance of the hash function, it is difficult to find two wallet accounts that can generate the same hash value, so the Merkle membership proofs of wallet accounts are difficult to forge or fraudulently use. In addition, if the private key of the manager account is stolen, the attacker needs to initiate a transaction to update the MerkleRoot to authorize his wallet account. When users notice suspicious transactions, they can contact the KYC provider to call the contract to freeze their identity and designate a new manager account. Therefore, the risk of a user’s identity being maliciously linked to other wallet accounts is low. In existing schemes, identities and wallets are generally statically bound, for example, blockchain-based DID schemes use wallet accounts as DIDs, whereas in SBT schemes, identities are bound to wallet accounts by issuing NFTs. Once the wallet’s private key is lost, the identity will also be lost. In the scheme, the KYCManager contract owns each KYCNFT so the KYCNFT is non-transferable and will not be lost. The wallet account and the KYCNFT are dynamically bound so the identity is still available even if the private key of the wallet account is lost. If a user loses the private key of the manager account, he can contact the KYC provider to set up a new manager account. If the private key of an authorized wallet account is leaked or lost, the user can update MerkleRoot to revoke the authorization of this wallet account.",,,,
2022,"Sun, N., Zhang, Y., & Liu, Y. (2022). A Privacy-Preserving KYC-Compliant Identity Scheme for Accounts on All Public Blockchains. Sustainability, 14(21), 14584.",file:///Users/justingoldston/Downloads/sustainability-14-14584-v2.pdf,,,"According to the definition of identity, blockchain identity schemes can be classified as transaction identities based on wallet accounts, personality identities based on personalities, credential identities based on social behavior or asset ownership, reputational identities based on reputations, and data identities based on real-world identity information. This article discusses the relationship between on-chain accounts and off-chain entities, but transaction identities are only related to on-chain transaction data so they are not within the scope of the discussion. Personality identity schemes, such as BrightID [36] and Proof of Humanity [37], aim to prove that the owner of a wallet account is a real person. Such schemes can be used to prevent Sybil attacks. However, since there is no centralized third party to record identity data, these solutions are only used for on-chain governance and cannot meet the requirements of regulatory policies.",,,,
2022,"Sun, N., Zhang, Y., & Liu, Y. (2022). A Privacy-Preserving KYC-Compliant Identity Scheme for Accounts on All Public Blockchains. Sustainability, 14(21), 14584.",file:///Users/justingoldston/Downloads/sustainability-14-14584-v2.pdf,,,"Social recovery [40] is based on multi-signatures and can be used for private key recovery or to approve a multi-signature public key to transfer the assets of the current account; the latter is only available in Turing-complete blockchains. In the case of a private key loss, the private key can be recovered by several private keys held by others. Since the process of recovering the key is independent of the blockchain, it can support any blockchain. In the case of private key theft, a signature can be generated by several private keys held by others to transfer assets to a new account, but this is only valid on blockchains that support smart contracts. As analyzed in the Privacy and Security Analysis section, in this scheme, the identity NFT is dynamically bound to the wallet account, which solves the problems of private key theft and loss.",,,,
2022,"Singh, R. G., Shrivastava, A., & Ruj, S. (2022). A digital asset inheritance model to convey online persona posthumously. International Journal of Information Security, 1-21.",https://link.springer.com/content/pdf/10.1007/s10207-022-00593-8.pdf,,,"They have several inherent limitations such as incorrect death confirmation, high participation of nominee, the possibility of failure to obtain recovery key, and are based on many unreasonable assumptions, thus inefficient to design in the real life.",,,,
2022,"Singh, R. G., Shrivastava, A., & Ruj, S. (2022). A digital asset inheritance model to convey online persona posthumously. International Journal of Information Security, 1-21.",https://link.springer.com/content/pdf/10.1007/s10207-022-00593-8.pdf,,,"We have also proposed a new protocol named digital asset inheritance protocol (DAIP) using certificateless encryption (CLE) and identity-based system (IBS) to convey the user’s online persona efficiently to the descendent after his death. DAIP allows the nominee to successfully retrieve the asset after the user’s demise, even if a nominee is uninformed regarding the asset. We, then, provide rigorous security proofs of various properties using real–ideal worlds paradigm.",,,,
2022,"Singh, R. G., Shrivastava, A., & Ruj, S. (2022). A digital asset inheritance model to convey online persona posthumously. International Journal of Information Security, 1-21.",https://link.springer.com/content/pdf/10.1007/s10207-022-00593-8.pdf,,,"For instance, DigiPulse [10] stores assets in encrypted form and transfer to the descendants using blockchain technology; PassOn [30] stores asset in the form of a token; SafeHaven [35] uses a secret sharing scheme to distribute cryptocurrency private key; and TrustVerse [37] is designed for asset management using the smart contract. However, we observe that all these models do not specify their inheritance design. In particular, it is not known how the asset information will be stored securely, how the user’s death will be confirmed correctly, how many nominees will participate, and how dependents will get to know about the asset after the demise of the user. These models also fail to explain how the asset transfer will work if the dependent does not know about it",,,,
2022,"Singh, R. G., Shrivastava, A., & Ruj, S. (2022). A digital asset inheritance model to convey online persona posthumously. International Journal of Information Security, 1-21.",https://link.springer.com/content/pdf/10.1007/s10207-022-00593-8.pdf,,,"straightforward design and have the following issues and challenges: i) Designed for inheriting only user-owned assets (such as cryptocurrency key, password, or any other data) and does not discuss other categories of digital assets such as organization-owned data; ii) Require excessive nominee participation during creating, storing and managing the asset which increases the overall complexity in terms of design; iii) Uses inaccurate ways of death confirmation such as inactivity period [10], voting [30], weighted voting [30], consent of nominee [37]. All these death confirmation methods make the DAI protocol fail to guarantee the robustness property (as well as other security properties), if one nominee denies voting during the death confirmation process; and iv) Does not clearly specify how the secret key required to access the assets will be transferred to the descendants in [10,30,37]. Therefore, current asset management models are at a very early stage and relatively immature.",,,,
2022,"Singh, R. G., Shrivastava, A., & Ruj, S. (2022). A digital asset inheritance model to convey online persona posthumously. International Journal of Information Security, 1-21.",https://link.springer.com/content/pdf/10.1007/s10207-022-00593-8.pdf,,,"In particular, we ask the following questions: – What are the different categories of digital assets? How and in which form all categories of assets should be managed so that they can be inherited efficiently? – How can a user store digital asset information securely so that it can be conveyed to the descendent later after his death? – What should be the functionalities and properties of the asset inheritance model? – How can a nominee claim and retrieve all the digital assets successfully after the user’s death? – Can we force each data fiduciary to hand over all the digital assets to the nominee when they are alive?",,,,
2022,"Singh, R. G., Shrivastava, A., & Ruj, S. (2022). A digital asset inheritance model to convey online persona posthumously. International Journal of Information Security, 1-21.",https://link.springer.com/content/pdf/10.1007/s10207-022-00593-8.pdf,,,"Type 1 (Organization Managed Data (OMD) In this category, data is entirely maintained and managed by the organization (a.k.a. data fiduciary) such as web services, cloud data, songs, and videos. The users are allowed to store, update, delete and manage the data with access control. Based on the nature of the organization’s data and policy, it should register nominee details so that the asset could be transferred to the descendants after his demise. We want to point out that currently most organizations are not concerned about it. Type 2 (Organization Managed MonetaryAsset (OMMA)) An organization that manages users financial assets, having monetary value, comes under this category. It can be any local or global currency, bank accounts, insurance, stock market shares, mutual funds, or e-wallets. This category of data mostly belongs to identifiable users. Users can keep all these account information together in one place so that even if a nominee is not aware, they can know it in the future. Type 3 (User Owned Data (UOD)) These personal data are known to the user’s only and participation of the organization is not needed. User’s sensitive personal data, cryptographic private keys, passwords, cryptocurrency keys, or any non-bankable assets are some of the examples of data that comes under this category. It can also include any data which are managed and stored solely by the user’s itself such as any personal files, books, and songs. Type 4 (Mixed Category) This category of data consists of two parts. i) a secret key and ii) encrypted data. The key is owned and managed by the user while the organization stores encrypted data (for example, digital will or data stored with client-side encryption). The user has to add nominee details at the organization and plan the transfer of the secret key to the descendants. The user needs to convey either the complete asset (e.g., user-owned data, a cryptographic key) or the asset information (e.g., account number) to the descendants based on the category of data.",,,,
2022,"Singh, R. G., Shrivastava, A., & Ruj, S. (2022). A digital asset inheritance model to convey online persona posthumously. International Journal of Information Security, 1-21.",https://link.springer.com/content/pdf/10.1007/s10207-022-00593-8.pdf,,,"User (U) is the owner of the digital asset who plans to pass its asset to his successors. We divide the user’s into two categories: (i) pseudonym users, who have not registered themselves with any real identity at the organization. These users may or may not be identified correctly (for example, email id, Github or Twitter handle); (ii) identifiable users, who have registered to the organization using real identity such as bank accounts and mutual funds. Nominee (N) is a legal custodian of the asset. Anyone is eligible to become a nominee if and only if he/she fulfills the legal requirements. Generally, preferred nominees are family members and close relatives, but in certain circumstances, anyone could be a nominee if state or federal laws allow it. The user can define single or multiple nominees against an asset. Organization (O) stores user’s data for type 1, 2, or 4 category assets. It shall allow users to declare nominee details. A nominee can communicate with the organization upon the user’s death and receive the asset after necessary verification. Based on the nature of the service offered, an organization may register both pseudonyms and identifiable users. Note that the organization has to confirm and verify users’ identity correctly before the transfer of an asset to the nominee for the pseudonym users. Certificate Authority Portal (CAP) is the portal that confirms the user’s death. It can be any trusted entity that shall approve demise correctly. In this model, we have assumed, CAP is a central entity authorized by the government within the state, solely responsible for confirmation of death and generation of death certificate (defined in a later section) upon the request by their belongings. Nominee Display Portal (NDP) is a dedicated system for efficient storage and management of asset inheritance data (AID). NDP implementation can be done either using a dedicated centralized system or a decentralized system such as blockchain. Identity Based System (IBS) stores the identity (idU ) of users within the system. IBS could be assumed as any identity-based system such as the Aadhaar system in India or SSIN number in the USA. It will help entities to confirm and verify users identities after demise. IBS has the functionality of authentication service. Any user(u,idU ) can authenticate himself uniquely and correctly using this service.",,,,
2022,"Singh, R. G., Shrivastava, A., & Ruj, S. (2022). A digital asset inheritance model to convey online persona posthumously. International Journal of Information Security, 1-21.",https://link.springer.com/content/pdf/10.1007/s10207-022-00593-8.pdf,,,"2.5 Concern of correct death confirmation Digital asset inheritance protocol requires the assumption of a trusted party who can confirm the death correctly. Death is purely unpredictable. It does not depend on any physical parameters and real-world constraints. The existing models of asset management use the following mechanisms to confirm the death [10,30,35,37]: i) voting: In this method, all nominees vote to confirm the death. However, if any nominee denies voting, the asset cannot be recovered; ii) weighted voting: It allows confirmation of death by a threshold number of nominees, each having different weights. Although, if some nominees with higher weights deny voting, the threshold cannot be achieved; iii) notary: is a legal person who confirms the user’s death and also stores the secret key which will be used later by the nominee to learn about the asset. However, if the notary denies participating in the protocol then the nominee can never retrieve this secret key; iv) inactivity period: In this method, the user’s logged-in status is collected from different social media accounts (for example, E-mail, Facebook), and if a user has not logged-in since a pre-defined time, the death is confirmed. However, due to the privacy policy, many websites may not share login details with other organizations. Further, if a user is alive and forgot to update his liveliness status through account login, all his secrets would be revealed to the nominee; and v)secret sharing: In this method, the multiple nominees hold the shares of the key. After the user’s death, nominees submit their shares and recover the key. This method does not validate death correctly as all the nominees may collude with each other. The incorrect execution of death confirmation may produce adverse effects on the model. Therefore, we need a trusted entity who will confirm the user’s demise correctly; otherwise, the complete model will fail",,,,
2022,"Singh, R. G., Shrivastava, A., & Ruj, S. (2022). A digital asset inheritance model to convey online persona posthumously. International Journal of Information Security, 1-21.",https://link.springer.com/content/pdf/10.1007/s10207-022-00593-8.pdf,,,"The uniform digital asset law proposed under the Revised Uniform Fiduciary Access to Digital Assets Act (the “RUFADAA”) authorize personal representative of descendant’s to access digital assets [38]. However, this accessibility does not imply inheritability (transfer of digital asset after death); hence, an adequate law and policy is needed for effective inheritance",,,,
2022,"Singh, R. G., Shrivastava, A., & Ruj, S. (2022). A digital asset inheritance model to convey online persona posthumously. International Journal of Information Security, 1-21.",https://link.springer.com/content/pdf/10.1007/s10207-022-00593-8.pdf,,,"In all these studies, we observe that digital asset inheritance is a growing concern among society, and reform in the law and some practical solution is required for this indispensable subject",,,,
2022,"Singh, R. G., Shrivastava, A., & Ruj, S. (2022). A digital asset inheritance model to convey online persona posthumously. International Journal of Information Security, 1-21.",https://link.springer.com/content/pdf/10.1007/s10207-022-00593-8.pdf,,,"For instance, Facebook uses a postmortem data management policy that preserves the memory of the deceased, allow to post about the user’s death by nominated friends, and grant memorializing practices [4]. Similarly, Google uses an inactive account manager to inform and delete the account of the dead. Twitter allows retrieving the user’s data by their successors from its portal.",,,,
2022,"Singh, R. G., Shrivastava, A., & Ruj, S. (2022). A digital asset inheritance model to convey online persona posthumously. International Journal of Information Security, 1-21.",https://link.springer.com/content/pdf/10.1007/s10207-022-00593-8.pdf,,2022,"Designing technical implementation of asset management and asset inheritance is at a very initial stage. Recently, few asset inheritance models have been proposed using Blockchain such as PassOn [30], DigiPulse [10], SafeHaven [35], TrustVerse [37]. In DigiPulse, the user can store sensitive data at the DigiPulse portal in the encrypted form and hash of files on the blockchain to maintain integrity. Thereafter, the encryption key can be distributed among nominees using any secret sharing schemes. PassOn converts various assets in the form of tokens and stores them on the blockchain. The tokens can be transferred to the family member in case of the death of the user. SafeHaven uses a secret sharing scheme to distribute cryptocurrency secret keys among nominees. The original key can be reproduced when each nominee will submit their share, including the share of a trusted party known as Trusted Alliance Network (TAN). TrustVerse is an estate planning and asset management system which allows a user and its family members to create a smart contract using blockchain for an asset. The smart contract will be executed when a threshold number of family members will confirm the death. However, all these have a poor technical description and have many existing challenges, such as being applicable only for type 3 category assets, the possibility of recreation of the incorrect key by a nominee, or weak method of death confirmation",,,,
2022,"Singh, R. G., Shrivastava, A., & Ruj, S. (2022). A digital asset inheritance model to convey online persona posthumously. International Journal of Information Security, 1-21.",https://link.springer.com/content/pdf/10.1007/s10207-022-00593-8.pdf,,2022,"Proofs 1. Asset privacy - , guarantees that no third party, including NDP, can reveal anything from the data stored at NDP portal. 2. Non-repudiation - Non-repudiation ensures that during the execution of protocol Π2, organization cannot deny from holding of the asset when nominee request for it (see Sect. 2.4). In order to prove this, consider a nominee having input idN . During the execution of the protocol Π2, the nominee sends (DCU , RCU n ,idU , nonce, accU ) to organization for claiming the asset. If the organization is honest then he will transfer the asset to the nominee after performing necessary verification as shown in the steps ix-xi. If the organization is malicious then there are two cases: if organization denies the existence of user’s account then in this case nominee can provide (MU O , σ(U) O ) which ensures that user’s account does exist in that organization; if organization denies transferring the asset then in this case the parties need to resolve the dispute with the help of trusted legal third party. 3. Identifiability - The protocol Π is said to achieve identifiability if it fulfills the following conditions (as defined in Sect. 2.4): i) the user’s identity is not known to the organization before death; and ii) After death, an organization knows the identity of the user. Note that the protocol Π1 ensures the first condition while Π2 ensures the second condition. The user U stores id  U = H(idU ||nonceO ) to the organization O during the execution of protocol Π1 in step 2. In order to prove the first property, we consider the following cases: 4. Key inheritance privacy - The asset key inheritance privacy guarantees that the key is revealed to the designated nominee only in the protocol. During the execution of protocol Π2, nominee sends (idU ,idN , nameN ,idN ,r pU N )to obtain (DCU , RCU N ). Using this, nominee can get the first partial key kO from CAP. He can recover the list of nominee nlist from Ainfo designated against the asset Acert . Now if n does not belong to the nlist then he can not decrypt cNi because of the CLE security definition. Thus, protocol Π2 guarantees the key inheritance privacy property. 5. User’s privacy - The DAI protocol Π guarantees user’s privacy if the data stored at NDP portal does not reveal the identity of the user. The user U stores asset inheritance data using idU . If both NDP and IBS do not collude then the protocol Π achieves the user’s privacy due to the pre-image security of the hash function, A will not be able to know the mapping. However, if adversary A corrupts and controls both entities then their input, internal state, and views will be known to A. Since A knows the identity of user’s who have stored DAI data at NDP, therefore, user’s privacy is not guaranteed. 6. Correctness - The protocol Π guarantees the correctness properties if both user and nominee can be identified and verified correctly by the organization before transfer of the asset (as defined in Sect. 2.4). We can prove correctness of both properties using the following cases: Correctness 1—User’s identification: The organization can verify the user correctly before transfer of asset. During the execution of the protocol Π2, nominee submits (DCU , RCU N ,idU , nonceO , accU ). The organization can calculate commitment value as H(idU nonceO ) == id  U which ensure the correctness of user’s identity. An adversary A will not be able to generate a value id∗ u such that id  U == H(id∗ U ||nonceO ) due to the security of hash function. Correctness 2—Nominee verification: The nominee n obtains (idU , Acert, Ainfo, c1) from step iv in the execution of protocol Π2. Using this only designated nominee can retrieve the value of nonceO . Nominee send (DCU , RCU N ,idU , nonceO , accU ) to the organization. The organization can verify (DCU , RCU N from the CAP to ensure the correctness. In the case of adversarial nominee A, he can obtains the value (DCU ,idU , nonceO , accU ) by colluding with other nominee. However, A will not be able to generate RCU N so would not be able to claim for the asset. Robustness A DAI protocol Π is said to be robust if nominee can retrieve the asset or asset information without any loss. The execution of protocol Π1 and Π2 clearly shows that nominee can obtain data from IBS, CAP, and NDP and will able to know DAI. He can communicate with organization to retrieve the asset successfully. However, asset retrieval will not work if any entity such as IBS or NDP refuses holding of data",,,,
2022,"Saidakhrarovich, G. S., & Tursunovich, K. O. (2022). DIGITAL FUTURE & CYBER SECURITY NECESSITY. World Bulletin of Management and Law, 10, 31-45.",file:///Users/justingoldston/Downloads/948-Article%20Text-1891-1-10-20220513.pdf,,,"The succession of wills must be valid, written, signed and witnessed by more than one individual. 9 Traditionally, the inheritance process requires strict rules, which must be established in compliance with the law. But, the criticisms against these strict rules by scholars and professors forced them to change.",,,,
2022,"Saidakhrarovich, G. S., & Tursunovich, K. O. (2022). DIGITAL FUTURE & CYBER SECURITY NECESSITY. World Bulletin of Management and Law, 10, 31-45.",file:///Users/justingoldston/Downloads/948-Article%20Text-1891-1-10-20220513.pdf,,," Getting digital inheritance through a notary office is one of the secure ways of succeeding digital inheritance. Because a testator transfers its property or a digital property to the notary, and then, they will keep this secret till the requirements of a testator written on a will are fulfilled even though the notary can use it for their own benefit.",,,,
2021,"Kharitonova, J. S. (2021). Digital assets and digital inheritance. Law & Digital Technologies, 1(1), 19-26.",file:///Users/justingoldston/Downloads/Digital%20Assets%20and%20Digital%20Inheritance%20(1).pdf,,,"Conceptually, the concept of digital assets is a relatively new phenomenon in Russia and worldwide. Scientists and law enforcers recognize that the law lacks a proper legal definition of the criteria for referring digital objects to the objects of legal relations. digital assets include not only tokens and cryptocurrencies, Big Data, domain names and social media accounts, virtual gaming property, but also, a digital content, i.e. information stored on Web resources (texts, video and audio files, graphic images, animations, and so on).QUESTION What about web3 domains and DIDs? ",,,,
2021,"Kharitonova, J. S. (2021). Digital assets and digital inheritance. Law & Digital Technologies, 1(1), 19-26.",file:///Users/justingoldston/Downloads/Digital%20Assets%20and%20Digital%20Inheritance%20(1).pdf,,,"digital assets in the form of cryptocurrency and tokens (created as part of computer programs, intended for a wide circulation in the market, have no characteristics as objects of intellectual property rights, and created based on an open-source software license). Thus, depending on the purposes of determining the legal regime of the asset, we are either dealing with a digital asset, as it is defined in this paper, or only with the result from creations of the human mind, to which the IP right of the creator, participating in the circulation in this capacity, is established. In this case, the IP right is not a digital asset but an intangible asset regime for other purposes. Therefore, 3D models can be defined as objects of exclusive rights for the purposes of reproduction and use by other persons than the right holder, and as objects of circulation in the virtual world within the rules of the game, being digital assets in themselves, as players do not need the right to replicate or reproduce works, but the ability to transfer to the functionality in the game. And the more potent the influence of the legal regime of intellectual property on the object of the relationship, the less negotiable the digital asset is. QUESTION: what happens when NFT creators do not transfer IP, does it get transferred to his or her heir? What about royalties? Is the wallet address/private key added to the social recovery pallet? What about multiple chains? Is there an aggregator?",,,,
